PID,USER,PR,NI,VIRT,RES,SHR,S,%CPU,%MEM,TIME+,COMMAND
2017-04-14T23:07:35Z 
4663,root,20,0,107920,616,528,R,93.8,0.0,0:00.19,dd

2017-04-14T23:07:40Z 
4663,root,20,0,107920,616,528,R,99.8,0.0,0:05.19,dd
3704,apache,20,0,483516,10792,3572,S,3.8,0.1,0:56.08,httpd
3770,apache,20,0,483588,11056,3812,S,3.6,0.1,0:48.46,httpd
4485,apache,20,0,483524,10504,3288,S,3.6,0.1,0:18.13,httpd
3772,apache,20,0,483588,10968,3732,S,1.8,0.1,1:09.56,httpd
4487,apache,20,0,483588,11004,3768,S,1.6,0.1,0:06.38,httpd
4631,root,20,0,866984,14264,4116,S,0.4,0.2,0:00.14,python
29953,tcpdump,20,0,50904,8200,5832,S,0.4,0.1,1:29.02,tcpdump
3535,mysql,20,0,1850116,213596,8520,S,0.2,2.6,0:13.08,mysqld
4607,dmittal,20,0,679556,19364,4312,S,0.2,0.2,0:00.25,python
4671,root,20,0,145996,2004,1448,R,0.2,0.0,0:00.01,top
32343,root,20,0,0,0,0,S,0.2,0.0,0:03.01,kworker/0:1

2017-04-14T23:07:45Z 
3704,apache,20,0,483516,10792,3572,S,3.6,0.1,0:56.26,httpd
3770,apache,20,0,483588,11056,3812,S,3.6,0.1,0:48.64,httpd
4485,apache,20,0,483524,10504,3288,S,3.6,0.1,0:18.31,httpd
3772,apache,20,0,483588,10968,3732,S,2.0,0.1,1:09.66,httpd
4570,apache,20,0,483580,10848,3620,S,2.0,0.1,0:01.65,httpd
3893,apache,20,0,483588,11952,4720,S,1.8,0.1,0:35.56,httpd
3966,apache,20,0,483588,12352,5096,S,1.8,0.2,0:37.44,httpd
4487,apache,20,0,483588,11004,3768,S,1.8,0.1,0:06.47,httpd
3535,mysql,20,0,1850116,213596,8520,S,0.4,2.6,0:13.10,mysqld
29953,tcpdump,20,0,50904,8200,5832,S,0.4,0.1,1:29.04,tcpdump
4086,root,20,0,0,0,0,S,0.2,0.0,0:01.21,kworker/1:2
4607,dmittal,20,0,679556,19368,4312,S,0.2,0.2,0:00.26,python
4631,root,20,0,866984,14264,4116,S,0.2,0.2,0:00.15,python

2017-04-14T23:07:50Z 
3704,apache,20,0,483516,10792,3572,S,3.6,0.1,0:56.44,httpd
3770,apache,20,0,483588,11056,3812,S,3.6,0.1,0:48.82,httpd
4485,apache,20,0,483524,10504,3288,S,3.6,0.1,0:18.49,httpd
3966,apache,20,0,483588,12352,5096,S,1.8,0.2,0:37.53,httpd
4570,apache,20,0,483580,10848,3620,S,1.8,0.1,0:01.74,httpd
4631,root,20,0,883376,14264,4116,S,0.6,0.2,0:00.18,python
3535,mysql,20,0,1850116,213596,8520,S,0.2,2.6,0:13.11,mysqld
4607,dmittal,20,0,679556,19368,4312,S,0.2,0.2,0:00.27,python
29953,tcpdump,20,0,50904,8200,5832,S,0.2,0.1,1:29.05,tcpdump

2017-04-14T23:07:55Z 
4685,root,20,0,107920,616,528,R,5.0,0.0,0:00.25,dd
4485,apache,20,0,483524,10504,3288,S,3.6,0.1,0:18.67,httpd
3704,apache,20,0,483516,10792,3572,S,3.4,0.1,0:56.61,httpd
3770,apache,20,0,483588,11056,3812,S,3.4,0.1,0:48.99,httpd
4486,apache,20,0,483524,10660,3444,S,2.0,0.1,0:19.32,httpd
4570,apache,20,0,483580,10848,3620,S,2.0,0.1,0:01.84,httpd
3701,apache,20,0,483588,11940,4692,S,1.8,0.1,1:02.04,httpd
3809,apache,20,0,483588,12584,5328,S,1.8,0.2,1:11.29,httpd
3966,apache,20,0,483588,12352,5096,S,1.8,0.2,0:37.62,httpd
593,root,20,0,119648,11992,6908,S,0.2,0.1,1:42.37,snmpd
3535,mysql,20,0,1850116,213844,8520,S,0.2,2.6,0:13.12,mysqld
4607,dmittal,20,0,679556,19368,4312,S,0.2,0.2,0:00.28,python
4631,root,20,0,1030840,14264,4116,S,0.2,0.2,0:00.19,python
4671,root,20,0,145996,2004,1448,R,0.2,0.0,0:00.02,top
29953,tcpdump,20,0,50904,8200,5832,S,0.2,0.1,1:29.06,tcpdump

2017-04-14T23:08:00Z 
4685,root,20,0,107920,616,528,R,99.8,0.0,0:05.25,dd
3704,apache,20,0,483516,10792,3572,S,3.8,0.1,0:56.80,httpd
3770,apache,20,0,483588,11056,3812,S,3.6,0.1,0:49.17,httpd
4485,apache,20,0,483524,10504,3288,S,3.6,0.1,0:18.85,httpd
3966,apache,20,0,483588,12352,5096,S,1.8,0.2,0:37.71,httpd
4486,apache,20,0,483524,10660,3444,S,1.8,0.1,0:19.41,httpd
29953,tcpdump,20,0,50904,8200,5832,S,0.8,0.1,1:29.10,tcpdump
3535,mysql,20,0,1850116,213844,8520,S,0.4,2.6,0:13.14,mysqld
4607,dmittal,20,0,679556,19368,4312,S,0.4,0.2,0:00.30,python
14,root,20,0,0,0,0,S,0.2,0.0,0:21.28,rcuos/0
4631,root,20,0,1252036,14264,4116,S,0.2,0.2,0:00.20,python
4671,root,20,0,145996,2004,1448,R,0.2,0.0,0:00.03,top
4673,root,20,0,113180,992,840,S,0.2,0.0,0:00.01,sadc

2017-04-14T23:08:05Z 
4685,root,20,0,107920,616,528,R,99.6,0.0,0:10.25,dd
3770,apache,20,0,483588,11056,3812,S,3.8,0.1,0:49.36,httpd
4485,apache,20,0,483524,10504,3288,S,3.8,0.1,0:19.04,httpd
3704,apache,20,0,483516,10792,3572,S,3.6,0.1,0:56.98,httpd
4486,apache,20,0,483524,10660,3444,S,2.0,0.1,0:19.51,httpd
4487,apache,20,0,483588,11004,3768,S,2.0,0.1,0:06.57,httpd
3776,apache,20,0,483580,11832,4608,S,1.8,0.1,0:28.97,httpd
3966,apache,20,0,483588,12352,5096,S,1.8,0.2,0:37.80,httpd
4568,apache,20,0,483392,10396,3204,S,1.8,0.1,0:00.38,httpd
3535,mysql,20,0,1850116,213844,8520,S,0.4,2.6,0:13.16,mysqld
4631,root,20,0,1399500,16312,4116,S,0.4,0.2,0:00.22,python
4607,dmittal,20,0,679556,19368,4312,S,0.2,0.2,0:00.31,python
4671,root,20,0,145996,2004,1448,R,0.2,0.0,0:00.04,top

2017-04-14T23:08:10Z 
3704,apache,20,0,483516,10792,3572,S,3.6,0.1,0:57.16,httpd
3770,apache,20,0,483588,11056,3812,S,3.6,0.1,0:49.54,httpd
4485,apache,20,0,483524,10504,3288,S,3.6,0.1,0:19.22,httpd
4568,apache,20,0,483392,10396,3204,S,1.8,0.1,0:00.47,httpd
3776,apache,20,0,483580,11832,4608,S,1.6,0.1,0:29.05,httpd
16,root,20,0,0,0,0,S,0.2,0.0,0:05.82,rcuos/2
4086,root,20,0,0,0,0,S,0.2,0.0,0:01.22,kworker/1:2
4607,dmittal,20,0,679556,19368,4312,S,0.2,0.2,0:00.32,python
4631,root,20,0,1620696,16312,4116,S,0.2,0.2,0:00.23,python
29953,tcpdump,20,0,50904,8200,5832,S,0.2,0.1,1:29.11,tcpdump

2017-04-14T23:08:15Z 
3770,apache,20,0,483588,11056,3812,S,3.6,0.1,0:49.72,httpd
3772,apache,20,0,483588,10968,3732,S,3.6,0.1,1:09.84,httpd
3893,apache,20,0,483588,11952,4720,S,3.6,0.1,0:35.74,httpd
3701,apache,20,0,483588,11940,4692,S,2.0,0.1,1:02.14,httpd
3776,apache,20,0,483580,11832,4608,S,1.8,0.1,0:29.14,httpd
4568,apache,20,0,483392,10408,3212,S,1.8,0.1,0:00.56,httpd
4570,apache,20,0,483580,10936,3708,S,1.8,0.1,0:01.93,httpd
3809,apache,20,0,483588,12584,5328,S,1.6,0.2,1:11.37,httpd
3535,mysql,20,0,1850116,213844,8520,S,0.4,2.6,0:13.18,mysqld
4607,dmittal,20,0,679556,19368,4312,S,0.4,0.2,0:00.34,python
4631,root,20,0,1768160,16312,4116,S,0.4,0.2,0:00.25,python
13,root,20,0,0,0,0,S,0.2,0.0,0:28.60,rcu_sched
2111,dmittal,20,0,136628,2376,1160,S,0.2,0.0,0:02.31,sshd
